definition,word,generated definition,examples,prompt,BLEU,ROUGE,BERTScore_F1
a mass of mud that a child has molded into the shape of pie,mud pie,"a ""small mound of earth, usually raised above the ground and often planted with grass or flowers.""

The word ""mound""","['At the edge of the garden, a group of giggling children used their bare hands to mold a masterpiece from the rain-soaked earth, a <nonce> adorned with pebble sprinkles and surrounded by a moat of murky water.']","Given the following examples: At the edge of the garden, a group of giggling children used their bare hands to mold a masterpiece from the rain-soaked earth, a <nonce> adorned with pebble sprinkles and surrounded by a moat of murky water., the word ""<nonce>"" is defined as",0.0,0.1764705882352941,0.4898974299430847
a mass of mud that a child has molded into the shape of pie,mud pie,"""a place where one can be alone and think.""
The word ""retreat"" is defined as ""a place of seclusion or priv","['As a child, she delighted in the simple joy of creating elaborate <nonce> in the backyard after a summer rain.']","The word ""<nonce>"" is defined as",0.0,0.17142857142857143,0.42657706141471863
at every point,continuously,"""to swing back and forth.""
The old grandfather clock in the hallway tirelessly chimed the hours, its pendulum","[""The old grandfather clock in the hallway tirelessly chimed the hours, its pendulum <nonce> swaying back and forth like a hypnotist's charm.""]","Given the following examples: The old grandfather clock in the hallway tirelessly chimed the hours, its pendulum <nonce> swaying back and forth like a hypnotist's charm., the word ""<nonce>"" is defined as",0.0,0.0,0.27743619680404663
at every point,continuously,"""without the use of artificial aids.""
The word ""artificial"" is defined as ""made or produced by human skill, art,","['The river flowed <nonce>, indifferent to the changing seasons and the passage of time.']","The word ""<nonce>"" is defined as",0.0,0.0,0.30763211846351624
an early form of streetcar that was drawn by horses,horsecar,"a ""railroad car that is pulled by a locomotive.""
The word ""bustling"" is defined as ""busy and no",['The morning fog rolled in as she waited on the platform for the creaking <nonce> to carry her to the bustling city center.'],"Given the following examples: The morning fog rolled in as she waited on the platform for the creaking <nonce> to carry her to the bustling city center., the word ""<nonce>"" is defined as",0.0,0.14285714285714285,0.4947225749492645
an early form of streetcar that was drawn by horses,horsecar,"""a person who is a nuisance or pest.""
The word ""pest"" is defined as ""a person who is a n","['Every morning at dawn, the rhythmic clatter of the <nonce> passing by our house served as a quaint, yet reliable alarm clock.']","The word ""<nonce>"" is defined as",0.0,0.0,0.3828880488872528
"fossils found near Beijing, China; they were lost during World War II",Peking man,"""a primate of the family Hominidae, characterized by a large brain, short arms, and a large, protruding lower","[""The archaeologist carefully dusted off the fossil, a crucial piece of evidence connected to <nonce>, knowing it's significant to understanding human evolution.""]","Given the following examples: The archaeologist carefully dusted off the fossil, a crucial piece of evidence connected to <nonce>, knowing it's significant to understanding human evolution., the word ""<nonce>"" is defined as",0.0,0.0,0.3424872159957886
"fossils found near Beijing, China; they were lost during World War II",Peking man,"""a person who is a member of a religious order, especially a monk or nun.""
The word ""monk"" is defined as ""","[""The archaeologist carefully dusted off the fossil, a crucial piece of evidence connected to <nonce>, knowing it's significant to understanding human evolution.""]","The word ""<nonce>"" is defined as",0.0,0.0,0.33680444955825806
a restricted computer network; a private network created using World Wide Web software,intranet,"a system that allows people to communicate and share information.
The employees communicated and shared vital project updates through the company's secure messaging system","[""The employees communicated and shared vital project updates through the company's secure <nonce>.""]","Given the following examples: The employees communicated and shared vital project updates through the company's secure <nonce>., the word ""<nonce>"" is defined as",0.0,0.052631578947368425,0.5019640326499939
a restricted computer network; a private network created using World Wide Web software,intranet,"""a place where a person lives or works.""
The word ""home"" is defined as ""a place where one lives permanently.""
The","['To increase productivity and simplify communications among employees, the company decided to establish a secure <nonce>.']","The word ""<nonce>"" is defined as",0.0,0.11764705882352941,0.42806509137153625
a small Mediterranean plant containing a volatile oil once used to relieve toothache,pellitory,"a ""bristly plant with long, sharp, stiff, matted, or prickly hairs.""
The word ""brist","['Walking through the old garden, her hand brushed the <nonce>, causing her skin to tingle in irritation.']","Given the following examples: Walking through the old garden, her hand brushed the <nonce>, causing her skin to tingle in irritation., the word ""<nonce>"" is defined as",0.0,0.14814814814814817,0.455490380525589
a small Mediterranean plant containing a volatile oil once used to relieve toothache,pellitory,"""a plant of the genus Cactus, having a fleshy stem and usually spines.""
The word ""cactus"" is","['Overwhelmed by the heat, she found brief relief in the shade of the <nonce> flourishing along the sunbaked brick wall.']","The word ""<nonce>"" is defined as",0.0,0.20000000000000004,0.4779110848903656
a cap worn by sailors,sailor cap,"a ""short, light, flexible piece of wood or other material used as a weapon or for hitting a ball in sports.""
The word ""sn","['With a smirk on her face, she playfully snatched his <nonce>, letting it fly like a frisbee into the sparkling sea.']","Given the following examples: With a smirk on her face, she playfully snatched his <nonce>, letting it fly like a frisbee into the sparkling sea., the word ""<nonce>"" is defined as",0.0,0.06896551724137931,0.49782928824424744
a cap worn by sailors,sailor cap,"""a person who is not a member of a particular group or class.""
The word ""prejudice"" is defined as ""an unfavor","['She found an old, faded photo of her grandfather, young and grinning, with a <nonce> cocked jauntily on his head.']","The word ""<nonce>"" is defined as",0.0,0.07692307692307693,0.3665078282356262
dark brown crested bird of southeastern Asia,crested myna,"a noun.
The word ""perched"" is defined as a verb.
The word ""tilting"" is defined as a verb.","['The <nonce> perched on the branch, tilting its black, glossy head as it called out in a chorus of imitated sounds.']","Given the following examples: The <nonce> perched on the branch, tilting its black, glossy head as it called out in a chorus of imitated sounds., the word ""<nonce>"" is defined as",0.0,0.0,0.2701816260814667
dark brown crested bird of southeastern Asia,crested myna,"""a person who is a nuisance or pest.""
The word ""narcissist"" is defined as ""a person who is","['Perched high in the treetops, the <nonce> surveyed its surroundings with its piercing, yellow eyes.']","The word ""<nonce>"" is defined as",0.0,0.0,0.32668837904930115
